"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"ATX_PWR_0","1","Power Supply","","","","Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical","~"
"BT1","1","BATT_RTC","","","","Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032","~"
"C1,C24,C27","3","120pF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C2,C16,C17,C25,C28","5","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C3","1","1nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C4,C5,C6,C15,C18,C19,C20,C21,C22,C23,C26,C29,C30,C38,C39,C40,C41,C42,C43,C44,C45","21","100nF","","","","","~"
"C7,C8,C9,C10,C11,C12,C13,C14","8","1uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"C31","1","22nF","","","","","~"
"C32","1","10nF","","","","","~"
"C33","1","680pF","","","","","~"
"C34,C36,C37","3","2.1uF","","","","","~"
"C35","1","100pF","","","","","~"
"CPU_0","1","Z80CPU-DIP","","","","Package_DIP:DIP-40_W15.24mm_Socket","https://www.mouser.co.uk/datasheet/2/450/ps0178-19386.pdf"
"CTC_0","1","CTC-DIP-28","","","","Package_DIP:DIP-28_W15.24mm_Socket","http://www.zilog.com/docs/z80/ps0181.pdf"
"D1","1","RESET","","","","LED_THT:LED_D5.0mm","~"
"D2","1","CLK","","","","LED_THT:LED_D5.0mm","~"
"D3","1","CLK2","","","","LED_THT:LED_D5.0mm","~"
"D4","1","+5V","","","","LED_THT:LED_D5.0mm","~"
"D5","1","+12V","","","","LED_THT:LED_D5.0mm","~"
"D6","1","-12V","","","","LED_THT:LED_D5.0mm","~"
"D7","1","3.3V","","","","LED_THT:LED_D5.0mm","~"
"D8","1","-5V","","","","LED_THT:LED_D5.0mm","~"
"D9","1","L8","","","","LED_THT:LED_D5.0mm","~"
"D10","1","L7","","","","LED_THT:LED_D5.0mm","~"
"D11","1","L6","","","","LED_THT:LED_D5.0mm","~"
"D12","1","L5","","","","LED_THT:LED_D5.0mm","~"
"D13","1","L4","","","","LED_THT:LED_D5.0mm","~"
"D14","1","L3","","","","LED_THT:LED_D5.0mm","~"
"D15","1","L2","","","","LED_THT:LED_D5.0mm","~"
"D16","1","L1","","","","LED_THT:LED_D5.0mm","~"
"D17","1","BUSY_CF","","","","LED_THT:LED_D5.0mm","~"
"D18","1","BUSY_IDE","","","","LED_THT:LED_D5.0mm","~"
